Date,Close,Volume,12 SMA,12 EMA
2018-01-02,158.49000549316406,32573300.0,0.0,0.0
2018-01-03,160.02999877929688,29383600.0,0.0,0.0
2018-01-04,160.30999755859375,24776100.0,0.0,0.0
2018-01-05,161.9199981689453,26992300.0,0.0,0.0
2018-01-08,162.5500030517578,23159100.0,0.0,0.0
2018-01-09,162.55999755859375,24782400.0,0.0,0.0
2018-01-10,162.17999267578125,34004000.0,0.0,0.0
2018-01-11,163.2899932861328,20473500.0,0.0,0.0
2018-01-12,164.49000549316406,37762700.0,0.0,0.0
2018-01-16,164.02000427246094,41231800.0,0.0,0.0
2018-01-17,165.7899932861328,33849900.0,0.0,0.0
2018-01-18,165.82000732421875,26432200.0,162.62083307902017,162.62083307902017
2018-01-19,166.33999633789062,38937600.0,163.2749989827474,163.11301373212765
2018-01-22,168.1199951171875,26081400.0,163.94916534423828,163.60947259455273
2018-01-23,169.50999450683594,37989700.0,164.7158317565918,164.30339913649655
2018-01-24,168.41000366210938,54287400.0,165.2566655476888,165.10441380885646
2018-01-25,168.35000610351562,28925000.0,165.7399991353353,165.6129660939723
2018-01-26,170.92999267578125,32038200.0,166.43749872843424,166.03404917236358
2018-01-29,170.10000610351562,37277800.0,167.0974998474121,166.78727124981245
2018-01-30,168.6999969482422,44987700.0,167.54833348592123,167.2969227657668
2018-01-31,169.39999389648438,42449200.0,167.9574991861979,167.51278033230147
2018-02-01,167.9600067138672,38037900.0,168.28583272298178,167.8031208806373
2018-02-02,164.61000061035156,68478100.0,168.1875,167.82725716267265
2018-02-05,158.1199951171875,105372200.0,167.54583231608072,167.3322946161617
2018-02-06,162.30999755859375,118537900.0,167.20999908447266,165.91501777016566
2018-02-07,160.2100067138672,91028300.0,166.55083338419595,165.3603992760777
2018-02-08,153.4499969482422,94184800.0,165.21250025431314,164.56803118958376
2018-02-09,156.10000610351562,113836600.0,164.18666712443033,162.85756438322352
2018-02-12,158.8699951171875,63050600.0,163.39666620890299,161.81794003249922
2018-02-13,159.69000244140625,31785600.0,162.46000035603842,161.3644100455282
2018-02-14,162.67999267578125,52107400.0,161.8416659037272,161.10680887566326
2018-02-15,165.6999969482422,51633900.0,161.5916659037272,161.3488371526045
2018-02-16,164.9600067138672,62256300.0,161.22166697184244,162.01824635193336
