Date,Close,change,upward movement,downward movement
03/01/2005,39.5,,,
04/01/2005,38.77999878,-0.720001221,0,-0.720001221
05/01/2005,38.54000092,-0.239997864,0,-0.239997864
06/01/2005,38.34999847,-0.190002441,0,-0.190002441
07/01/2005,38.54999924,0.200000763,0.200000763,0
10/01/2005,38.52999878,-0.020000458,0,-0.020000458
11/01/2005,38.25999832,-0.270000458,0,-0.270000458
12/01/2005,38.58000183,0.32000351,0.32000351,0
13/01/2005,38.06999969,-0.510002136,0,-0.510002136
14/01/2005,38.43000031,0.36000061,0.36000061,0
18/01/2005,38.72000122,0.290000916,0.290000916,0
19/01/2005,38.08000183,-0.63999939,0,-0.63999939
20/01/2005,37.34999847,-0.730003357,0,-0.730003357
21/01/2005,37.04999924,-0.299999237,0,-0.299999237
24/01/2005,36.52999878,-0.520000458,0,-0.520000458
25/01/2005,36.70999908,0.180000305,0.180000305,0
26/01/2005,37.15000153,0.440002441,0.440002441,0
27/01/2005,37.09999847,-0.050003052,0,-0.050003052
28/01/2005,36.91999817,-0.180000305,0,-0.180000305
31/01/2005,37.40000153,0.480003357,0.480003357,0
01/02/2005,37.52000046,0.119998932,0.119998932,0
02/02/2005,37.58000183,0.060001373,0.060001373,0
03/02/2005,37.15000153,-0.430000305,0,-0.430000305
04/02/2005,37.75,0.599998474,0.599998474,0
07/02/2005,37.66999817,-0.080001831,0,-0.080001831
08/02/2005,37.74000168,0.07000351,0.07000351,0
09/02/2005,37.11000061,-0.630001068,0,-0.630001068
10/02/2005,37.15000153,0.040000916,0.040000916,0
11/02/2005,37.70000076,0.549999237,0.549999237,0
14/02/2005,37.86999893,0.169998169,0.169998169,0
15/02/2005,38.11999893,0.25,0.25,0
16/02/2005,37.97999954,-0.13999939,0,-0.13999939
17/02/2005,37.47000122,-0.509998322,0,-0.509998322
18/02/2005,37.34999847,-0.120002747,0,-0.120002747
22/02/2005,36.88999939,-0.459999084,0,-0.459999084
23/02/2005,36.93999863,0.049999237,0.049999237,0
24/02/2005,37.40999985,0.470001221,0.470001221,0
25/02/2005,37.61999893,0.209999084,0.209999084,0
28/02/2005,37.22000122,-0.399997711,0,-0.399997711
01/03/2005,37.63000107,0.409999847,0.409999847,0
02/03/2005,37.61000061,-0.020000458,0,-0.020000458
03/03/2005,37.29999924,-0.310001373,0,-0.310001373
04/03/2005,37.52000046,0.220001221,0.220001221,0
07/03/2005,38.06000137,0.540000916,0.540000916,0
08/03/2005,37.68000031,-0.380001068,0,-0.380001068
09/03/2005,37.56999969,-0.11000061,0,-0.11000061
10/03/2005,37.52000046,-0.049999237,0,-0.049999237
11/03/2005,37.16999817,-0.350002289,0,-0.350002289
14/03/2005,37.34000015,0.170001984,0.170001984,0
15/03/2005,37.04000092,-0.299999237,0,-0.299999237
16/03/2005,36.61999893,-0.420001984,0,-0.420001984
17/03/2005,36.70999908,0.090000153,0.090000153,0
18/03/2005,36.50999832,-0.200000763,0,-0.200000763
21/03/2005,36.58000183,0.07000351,0.07000351,0
22/03/2005,36.13000107,-0.450000763,0,-0.450000763
23/03/2005,36.25999832,0.129997253,0.129997253,0
24/03/2005,36.27000046,0.010002136,0.010002136,0
28/03/2005,36.34000015,0.069999695,0.069999695,0
29/03/2005,36.04999924,-0.290000916,0,-0.290000916
30/03/2005,36.72999954,0.680000305,0.680000305,0
31/03/2005,36.56999969,-0.159999847,0,-0.159999847
01/04/2005,36.20000076,-0.369998932,0,-0.369998932
04/04/2005,36.45999908,0.259998322,0.259998322,0
05/04/2005,36.56000137,0.100002289,0.100002289,0
06/04/2005,36.5,-0.060001373,0,-0.060001373
07/04/2005,36.93999863,0.439998627,0.439998627,0
08/04/2005,36.63999939,-0.299999237,0,-0.299999237
11/04/2005,36.47999954,-0.159999847,0,-0.159999847
12/04/2005,36.65999985,0.180000305,0.180000305,0
13/04/2005,36.06000137,-0.599998474,0,-0.599998474
14/04/2005,35.54999924,-0.510002136,0,-0.510002136
15/04/2005,34.74000168,-0.809997559,0,-0.809997559
18/04/2005,34.75,0.009998322,0.009998322,0
19/04/2005,34.99000168,0.240001678,0.240001678,0
20/04/2005,34.70000076,-0.290000916,0,-0.290000916
21/04/2005,35.61999893,0.919998169,0.919998169,0
22/04/2005,35.09000015,-0.529998779,0,-0.529998779
25/04/2005,35.38000107,0.290000916,0.290000916,0
26/04/2005,35.04999924,-0.330001831,0,-0.330001831
27/04/2005,35.09999847,0.049999237,0.049999237,0
28/04/2005,34.75,-0.349998474,0,-0.349998474
29/04/2005,34.97999954,0.229999542,0.229999542,0
02/05/2005,35.11999893,0.13999939,0.13999939,0
03/05/2005,35.29999924,0.180000305,0.180000305,0
04/05/2005,35.72999954,0.430000305,0.430000305,0
05/05/2005,35.75999832,0.029998779,0.029998779,0
06/05/2005,35.86000061,0.100002289,0.100002289,0
09/05/2005,36.02999878,0.169998169,0.169998169,0
10/05/2005,35.77000046,-0.259998322,0,-0.259998322
11/05/2005,35.95000076,0.180000305,0.180000305,0
12/05/2005,35.84999847,-0.100002289,0,-0.100002289
13/05/2005,36.24000168,0.390003204,0.390003204,0
16/05/2005,36.47999954,0.239997864,0.239997864,0
17/05/2005,36.70000076,0.220001221,0.220001221,0
18/05/2005,37.20000076,0.5,0.5,0
19/05/2005,37.50999832,0.309997559,0.309997559,0
20/05/2005,37.65999985,0.150001526,0.150001526,0
23/05/2005,37.84999847,0.189998627,0.189998627,0
24/05/2005,37.97000122,0.120002747,0.120002747,0
25/05/2005,37.81000137,-0.159999847,0,-0.159999847
26/05/2005,38.18999863,0.379997253,0.379997253,0
27/05/2005,38.20999908,0.020000458,0.020000458,0
31/05/2005,38.08000183,-0.129997253,0,-0.129997253
01/06/2005,38.38999939,0.309997559,0.309997559,0
02/06/2005,38.65999985,0.270000458,0.270000458,0
03/06/2005,38.09999847,-0.560001373,0,-0.560001373
06/06/2005,38.11000061,0.010002136,0.010002136,0
07/06/2005,37.79000092,-0.319999695,0,-0.319999695
08/06/2005,37.70999908,-0.080001831,0,-0.080001831
09/06/2005,37.95000076,0.240001678,0.240001678,0
10/06/2005,37.54999924,-0.400001526,0,-0.400001526
13/06/2005,37.72999954,0.180000305,0.180000305,0
14/06/2005,37.58000183,-0.149997711,0,-0.149997711
15/06/2005,37.70000076,0.119998932,0.119998932,0
16/06/2005,37.90000153,0.200000763,0.200000763,0
17/06/2005,37.86999893,-0.030002594,0,-0.030002594
20/06/2005,37.86999893,0,0,0
21/06/2005,37.84999847,-0.020000458,0,-0.020000458
22/06/2005,37.81000137,-0.039997101,0,-0.039997101
23/06/2005,37.38999939,-0.420001984,0,-0.420001984
24/06/2005,36.97000122,-0.419998169,0,-0.419998169
27/06/2005,36.79999924,-0.170001984,0,-0.170001984
28/06/2005,37.15000153,0.350002289,0.350002289,0
29/06/2005,37.06999969,-0.080001831,0,-0.080001831
30/06/2005,36.77999878,-0.290000916,0,-0.290000916
01/07/2005,36.72999954,-0.049999237,0,-0.049999237
05/07/2005,37.11000061,0.380001068,0.380001068,0
06/07/2005,36.93000031,-0.180000305,0,-0.180000305
07/07/2005,37.06000137,0.130001068,0.130001068,0
08/07/2005,37.77000046,0.709999084,0.709999084,0
11/07/2005,38.11999893,0.349998474,0.349998474,0
12/07/2005,38.29999924,0.180000305,0.180000305,0
13/07/2005,38.38999939,0.090000153,0.090000153,0
14/07/2005,38.77000046,0.380001068,0.380001068,0
15/07/2005,38.88999939,0.119998932,0.119998932,0
18/07/2005,38.72999954,-0.159999847,0,-0.159999847
19/07/2005,39.18000031,0.450000763,0.450000763,0
20/07/2005,39.45999908,0.279998779,0.279998779,0
21/07/2005,39.47000122,0.010002136,0.010002136,0
22/07/2005,39.41999817,-0.050003052,0,-0.050003052
25/07/2005,39.27000046,-0.149997711,0,-0.149997711
26/07/2005,39.41999817,0.149997711,0.149997711,0
27/07/2005,39.72000122,0.300003052,0.300003052,0
28/07/2005,39.90999985,0.189998627,0.189998627,0
29/07/2005,39.58000183,-0.329998016,0,-0.329998016
01/08/2005,39.65000153,0.069999695,0.069999695,0
02/08/2005,40.08000183,0.430000305,0.430000305,0
03/08/2005,40.06000137,-0.020000458,0,-0.020000458
04/08/2005,39.66999817,-0.390003204,0,-0.390003204
05/08/2005,39.47999954,-0.189998627,0,-0.189998627
08/08/2005,39.18999863,-0.290000916,0,-0.290000916
09/08/2005,39.45000076,0.260002136,0.260002136,0
10/08/2005,39.11000061,-0.340000153,0,-0.340000153
11/08/2005,39.43000031,0.319999695,0.319999695,0
12/08/2005,39.20999908,-0.220001221,0,-0.220001221
15/08/2005,39.45000076,0.240001678,0.240001678,0
16/08/2005,38.81000137,-0.63999939,0,-0.63999939
17/08/2005,39.04000092,0.229999542,0.229999542,0
18/08/2005,38.84000015,-0.200000763,0,-0.200000763
19/08/2005,38.81999969,-0.020000458,0,-0.020000458
22/08/2005,38.84000015,0.020000458,0.020000458,0
23/08/2005,38.72999954,-0.11000061,0,-0.11000061
24/08/2005,38.5,-0.229999542,0,-0.229999542
25/08/2005,38.59000015,0.090000153,0.090000153,0
26/08/2005,38.45999908,-0.130001068,0,-0.130001068
29/08/2005,38.75999832,0.299999237,0.299999237,0
30/08/2005,38.61999893,-0.13999939,0,-0.13999939
31/08/2005,38.97999954,0.36000061,0.36000061,0
01/09/2005,38.91999817,-0.060001373,0,-0.060001373
02/09/2005,38.77000046,-0.149997711,0,-0.149997711
06/09/2005,39.34000015,0.569999695,0.569999695,0
07/09/2005,39.40999985,0.069999695,0.069999695,0
08/09/2005,39.40000153,-0.009998322,0,-0.009998322
09/09/2005,39.61999893,0.219997406,0.219997406,0
12/09/2005,39.72999954,0.11000061,0.11000061,0
13/09/2005,39.63000107,-0.099998474,0,-0.099998474
14/09/2005,39.18000031,-0.450000763,0,-0.450000763
15/09/2005,39.15999985,-0.020000458,0,-0.020000458
16/09/2005,39.40000153,0.240001678,0.240001678,0
19/09/2005,39.09000015,-0.310001373,0,-0.310001373
20/09/2005,38.93000031,-0.159999847,0,-0.159999847
21/09/2005,38.5,-0.430000305,0,-0.430000305
22/09/2005,38.63999939,0.13999939,0.13999939,0
23/09/2005,38.75,0.11000061,0.11000061,0
26/09/2005,38.75999832,0.009998322,0.009998322,0
27/09/2005,38.66999817,-0.090000153,0,-0.090000153
28/09/2005,38.68000031,0.010002136,0.010002136,0
29/09/2005,39.20000076,0.520000458,0.520000458,0
30/09/2005,39.45999908,0.259998322,0.259998322,0
03/10/2005,39.56000137,0.100002289,0.100002289,0
04/10/2005,39.29999924,-0.260002136,0,-0.260002136
05/10/2005,38.75999832,-0.540000916,0,-0.540000916
06/10/2005,38.25,-0.509998322,0,-0.509998322
07/10/2005,38.34000015,0.090000153,0.090000153,0
10/10/2005,38.13000107,-0.209999084,0,-0.209999084
11/10/2005,37.93999863,-0.190002441,0,-0.190002441
12/10/2005,37.49000168,-0.449996948,0,-0.449996948
13/10/2005,37.77999878,0.289997101,0.289997101,0
14/10/2005,38.06000137,0.280002594,0.280002594,0
17/10/2005,38.18000031,0.119998932,0.119998932,0
18/10/2005,37.90999985,-0.270000458,0,-0.270000458
19/10/2005,38.66999817,0.759998322,0.759998322,0
20/10/2005,38.31000137,-0.359996796,0,-0.359996796
21/10/2005,38.54999924,0.239997864,0.239997864,0
24/10/2005,39.15999985,0.61000061,0.61000061,0
25/10/2005,39.00999832,-0.150001526,0,-0.150001526
26/10/2005,38.81000137,-0.199996948,0,-0.199996948
