Date,Close, 9 RSI,12 EMA,26 EMA
2014-02-07,87.30000305175781,49.5444634529493,85.87140311986347,86.77807705218976
2014-02-10,87.80000305175781,59.93233425547641,86.0911877247703,86.81673823734295
2014-02-11,88.80000305175781,62.751712222598215,86.35408239046068,86.88957266804034
2014-02-12,88.97000122070312,67.84289532768962,86.73037787681407,87.0310860297972
2014-02-13,89.62999725341797,68.66207543898791,87.07493531433546,87.17470937727171
2014-02-14,89.80999755859375,71.79973131457314,87.468021766502,87.35658255328255
2014-02-18,90.25,72.64022046561875,87.82832573451611,87.53831699812042
2014-02-19,89.62999725341797,67.50691652383188,88.20089100612901,87.73918240566705
2014-02-20,90.05000305175781,67.50691652383188,88.42075350571193,87.87924276475971
2014-02-21,89.93000030517578,68.4939352106341,88.67140728202668,88.04003982305586
2014-02-24,90.41000366210938,68.4939352106341,88.86503697789577,88.18003689580549
2014-02-25,90.30999755859375,70.14202303350947,89.10272416008247,88.34521961923541
2014-02-26,90.2300033569336,68.90670421079099,89.28845852908421,88.49075872585455
2014-02-27,90.44000244140625,68.90670421079099,89.43331157952258,88.61959166149003
2014-02-28,90.33999633789062,68.813977158562,89.58818709673545,88.75443690444679
2014-03-03,89.66999816894531,57.66567308752798,89.70385005691317,88.87188575136855
2014-03-04,90.80999755859375,57.66567308752797,89.69864207414888,88.93100518970758
2014-03-05,91.05999755859375,68.61505429593211,89.86961984098654,89.07018980962508
2014-03-06,90.9800033569336,69.17001650778244,90.05275487446458,89.21758297621535
2014-03-07,90.52999877929688,61.804333874969984,90.19540848715212,89.34813263404634
2014-03-10,90.61000061035156,61.804333874969984,90.24688391671285,89.43567827443526
2014-03-11,90.22000122070312,56.27849825589159,90.30274802342649,89.52266511413276
2014-03-12,90.55999755859375,56.27849825589159,90.29001774608443,89.57431964054538
2014-03-13,89.27999877929688,43.92936980963752,90.33155310185509,89.64733281966008
2014-03-14,88.66999816894531,38.25827700768249,90.16977551376921,89.62012289074428
2014-03-17,89.44999694824219,38.25827700768249,89.93904053764246,89.54974328172214
2014-03-18,90.52999877929688,48.928207295570544,89.8638030623501,89.54235466442734
2014-03-19,90.04000091552734,54.51456274542005,89.96629471111115,89.615513487751
2014-03-20,90.29000091552734,54.51456274542005,89.97763412717518,89.64695700091961
2014-03-21,89.0,44.6073370745678,90.02569055615244,89.69458988348315
2014-03-24,88.22000122070312,38.87459589811983,89.86789200905207,89.64313878100292
2014-03-25,88.51000213623047,38.87459589811983,89.61437034930609,89.53772118394367
2014-03-26,87.37000274658203,34.60335007946908,89.44446754729445,89.46159384707603
2014-03-27,86.87999725341797,31.788531018121432,89.12531911641561,89.30666117296536
2014-03-28,87.05000305175781,31.788531018121432,88.77988498364674,89.12690829003593
2014-03-31,87.66999816894531,34.140954987984045,88.51374930181767,88.97306345757089
2014-04-01,89.20999908447266,42.304473666186276,88.38394143522193,88.87654010285789
2014-04-02,89.44000244140625,57.147522839169184,88.51102722741435,88.90124076816268
2014-04-03,88.7300033569336,52.241148249264576,88.6539464911054,88.9411490402548
2014-04-04,86.37000274658203,36.68469477570058,88.66564754738665,88.92550861926804
2014-04-07,85.55000305175781,32.85982049519308,88.31247142418594,88.73621188795796
